season,home_team,away_team,home_score,away_score,location
2018,TCU,NE-Omaha,99,66,1
2018,Grand Canyon,Norfolk St,85,60,1
2018,Air Force,AR-Pine Bluff,57,47,1
2018,Pittsburgh,Penn St,54,85,0
2018,Wisconsin,Baylor,65,70,0
2018,San Diego,AR-Little Rock,66,52,1
2018,Portland St,Utah St,83,79,1
2018,UNLV,Rice,95,68,1
2018,Pepperdine,UC-Santa Barbara,84,92,1
2018,Stanford,North Carolina,72,96,1
2018,Michigan,LSU,75,77,0
2018,Ole Miss,Utah,74,83,0
2018,St Bonaventure,MD-Eastern Shore,96,48,1
2018,Virginia Tech,Houston Christian,99,73,1
2018,BYU,Niagara,95,88,1
2018,Alabama,TX-Arlington,77,76,1
2018,UMass,Western Carolina,85,76,1
2018,South Carolina St,Central Arkansas,64,73,1
2018,Kent St,SE Louisiana,66,70,1
2018,Central Conn St,Coppin St,74,71,1
2018,Sacramento St,UC-Davis,47,64,0
2018,Binghamton,Montana St,64,74,0
2018,Cal St-Northridge,SE Missouri St,59,74,0
2018,George Mason,Louisiana Tech,64,77,0
2018,Louisville,Southern Illinois,84,42,1
2018,Rutgers,Bryant,83,54,1
2018,Nevada,Davidson,81,68,1
2018,IUPUI,Morehead St,67,61,1
2018,New Hampshire,American U,70,74,1
2018,Army,Columbia,88,78,1
2018,NC-Greensboro,Longwood,71,40,1
2018,Middle Tenn St,FL-Gulf Coast,85,72,1
2018,Minnesota,Alabama A&M,100,57,1
2018,Memphis,New Orleans,63,52,1
2018,Samford,Valparaiso,67,88,0
2018,LA-Monroe,Northwestern St,61,76,1
2018,Kansas,TX-Southern,114,71,1
2018,Loyola-Chicago,Miss Valley St,63,50,1
2018,Tennessee St,Canisius,60,52,1
2018,Evansville,Fresno St,59,57,1
2018,New Mexico,Tennessee Tech,96,104,1
2018,Air Force,Pacific,71,83,1
2018,Bethune-Cookman,Grambling St,87,78,1
2018,Creighton,Baylor,59,65,0
2018,UAB,Buffalo,91,96,0
2018,Richmond,Cincinnati,48,75,0
2018,Northern Illinois,Florida Atlantic,67,77,0
2018,Kansas City,GA-Southern,75,78,0
2018,Chattanooga,Jacksonville St,75,77,1
2018,Manhattan,Missouri St,65,69,0
2018,LSU,Notre Dame,53,92,0
2018,Pittsburgh,Oklahoma St,67,73,0
2018,Pepperdine,Oral Roberts,80,76,1
2018,Alabama St,Savannah St,97,101,0
2018,Iowa,South Dakota St,72,80,0
2018,Pennsylvania,Towson,71,79,0
2018,Penn St,Texas A&M,87,98,0
2018,Wisconsin,UCLA,70,72,0
2018,Montana,UC-Santa Barbara,73,80,0
2018,California,VCU,69,83,0
2018,Marquette,Wichita St,66,80,0
2018,Louisiana,Wyoming,61,70,0
2018,Syracuse,Toledo,72,64,1
2018,Florida St,Kennesaw St,98,79,1
2018,GA-Southern,Towson,67,70,0
2018,La Salle,Miami-FL,46,57,0
2018,Incarnate Word,Loyola Marymount,87,91,1
2018,Mississippi St,Stephen F Austin,80,75,1
2018,St Louis,Detroit Mercy,70,72,1
2018,Bucknell,Ball St,87,83,1
2018,Southern U,TN-Martin,69,66,1
2018,NC-Asheville,Monmouth,62,51,1
2018,Longwood,Delaware,57,65,0
2018,Elon,Radford,77,74,1
2018,Purdue,Tennessee,75,78,0
